strain	name	date	region	country	host	passage_type	sra_accession	abbr_authors	authors	institution
KT359770.1	12MYKL0011	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359769.1	13MYKL1883	2013-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359768.1	13MYKL1847	2013-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359767.1	13MYKL1719	2013-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359766.1	12MYKL1616	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359765.1	12MYKL1586	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359764.1	12MYKL1271	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359763.1	12MYKL1102	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359762.1	12MYKL1076	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359761.1	12MYKL0667	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359760.1	12MYKL0543	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359759.1	12MYKL0415	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359758.1	12MYKL0367	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359757.1	12MYKL0335	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359756.1	12MYKL0126	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359755.1	12MYKL0106	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359754.1	12MYKL0052	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359753.1	12MYKL0051	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359752.1	12MYKL0011	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359751.1	13MYKL1978	2013-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359750.1	13MYKL1950	2013-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359749.1	13MYKL1847	2013-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359748.1	13MYKL1719	2013-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359747.1	12MYKL1616	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359746.1	12MYKL1586	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359745.1	12MYKL1271	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359744.1	12MYKL1102	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359743.1	12MYKL1076	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359742.1	12MYKL0929	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359741.1	12MYKL0784	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359740.1	12MYKL0667	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359739.1	12MYKL0543	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359738.1	12MYKL0424	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359737.1	12MYKL0415	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359736.1	12MYKL0367	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359735.1	12MYKL0335	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359734.1	12MYKL0126	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359733.1	12MYKL0106	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359732.1	12MYKL0052	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359731.1	12MYKL0051	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359730.1	12MYKL0011	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT253328.1	Camel229E-CoV/JC50_HUH7/KSA/2014	2014-XX-XX	Asia	Saudi Arabia	Camelus dromedarius			Corman et al	Corman,V.M.,Eckerle,I.,Memish,Z.A.,Liljander,A.M.,Dijkman,R.,Jonsdottir,H.,Juma Ngeiywa,K.J.,Kamau,E.,Younan,M.,Al Masri,M.,Assiri,A.,Gluecks,I.,Musa,B.E.,Meyer,B.,Muller,M.A.,Hilali,M.,Bornstein,S.,Wernery,U.,Thiel,V.,Jores,J.,Drexler,J.F.,Drosten,C.	University of Bonn Medical Centre, Institute of Virology
KT253327.1	Camel229E-CoV/AC04/KSA/2014	2014-XX-XX	Asia	Saudi Arabia	Camelus dromedarius			Corman et al	Corman,V.M.,Eckerle,I.,Memish,Z.A.,Liljander,A.M.,Dijkman,R.,Jonsdottir,H.,Juma Ngeiywa,K.J.,Kamau,E.,Younan,M.,Al Masri,M.,Assiri,A.,Gluecks,I.,Musa,B.E.,Meyer,B.,Muller,M.A.,Hilali,M.,Bornstein,S.,Wernery,U.,Thiel,V.,Jores,J.,Drexler,J.F.,Drosten,C.	University of Bonn Medical Centre, Institute of Virology
KT253326.1	Camel229E-CoV/JC52/KSA/2014	2014-XX-XX	Asia	Saudi Arabia	Camelus dromedarius			Corman et al	Corman,V.M.,Eckerle,I.,Memish,Z.A.,Liljander,A.M.,Dijkman,R.,Jonsdottir,H.,Juma Ngeiywa,K.J.,Kamau,E.,Younan,M.,Al Masri,M.,Assiri,A.,Gluecks,I.,Musa,B.E.,Meyer,B.,Muller,M.A.,Hilali,M.,Bornstein,S.,Wernery,U.,Thiel,V.,Jores,J.,Drexler,J.F.,Drosten,C.	University of Bonn Medical Centre, Institute of Virology
KT253325.1	Camel229E-CoV/JC49/KSA/2014	2014-XX-XX	Asia	Saudi Arabia	Camelus dromedarius			Corman et al	Corman,V.M.,Eckerle,I.,Memish,Z.A.,Liljander,A.M.,Dijkman,R.,Jonsdottir,H.,Juma Ngeiywa,K.J.,Kamau,E.,Younan,M.,Al Masri,M.,Assiri,A.,Gluecks,I.,Musa,B.E.,Meyer,B.,Muller,M.A.,Hilali,M.,Bornstein,S.,Wernery,U.,Thiel,V.,Jores,J.,Drexler,J.F.,Drosten,C.	University of Bonn Medical Centre, Institute of Virology
KT253324.1	Camel229E-CoV/JC50/KSA/2014	2014-XX-XX	Asia	Saudi Arabia	Camelus dromedarius			Corman et al	Corman,V.M.,Eckerle,I.,Memish,Z.A.,Liljander,A.M.,Dijkman,R.,Jonsdottir,H.,Juma Ngeiywa,K.J.,Kamau,E.,Younan,M.,Al Masri,M.,Assiri,A.,Gluecks,I.,Musa,B.E.,Meyer,B.,Muller,M.A.,Hilali,M.,Bornstein,S.,Wernery,U.,Thiel,V.,Jores,J.,Drexler,J.F.,Drosten,C.	University of Bonn Medical Centre, Institute of Virology
KT253323.1	HCoV-229E/human/NED/21050349/2010	2010-XX-XX	Europe	Netherlands	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253322.1	HCoV-229E/human/HKG/HK_7_6/2004	2004-XX-XX	Asia	Hong Kong	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253321.1	HCoV-229E/human/HKG/HK_5_10/2002	2002-XX-XX	Asia	Hong Kong	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253320.1	HCoV-229E/human/HKG/HK_4_27/2006	2006-XX-XX	Asia	Hong Kong	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253319.1	HCoV-229E/human/HKG/HK_2_26B/2002	2002-XX-XX	Asia	Hong Kong	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253318.1	HCoV-229E/human/HKG/HK_2_26/2002	2002-XX-XX	Asia	Hong Kong	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253317.1	HCoV-229E/human/GHA/997/2008	2008-XX-XX	Africa	Ghana	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253316.1	HCoV-229E/human/GHA/939/2008	2008-XX-XX	Africa	Ghana	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253315.1	HCoV-229E/human/GHA/938/2008	2008-XX-XX	Africa	Ghana	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253314.1	HCoV-229E/human/GHA/860/2008	2008-XX-XX	Africa	Ghana	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253313.1	HCoV-229E/human/GHA/83/2008	2008-XX-XX	Africa	Ghana	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253312.1	HCoV-229E/human/GER/645/2010	2010-XX-XX	Europe	Germany	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253311.1	HCoV-229E/human/GER/629/2010	2010-XX-XX	Europe	Germany	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253310.1	HCoV-229E/human/GER/53/2008	2008-XX-XX	Europe	Germany	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253309.1	HCoV-229E/human/GER/499/2010	2010-XX-XX	Europe	Germany	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253308.1	HCoV-229E/human/GER/373/2011	2011-XX-XX	Europe	Germany	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253307.1	HCoV-229E/human/GER/1812/2010	2010-XX-XX	Europe	Germany	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253306.1	HCoV-229E/human/GER/1551/2010	2010-XX-XX	Europe	Germany	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253305.1	HCoV-229E/human/GER/1337/2010	2010-XX-XX	Europe	Germany	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253304.1	HCoV-229E/human/GER/1334/2010	2010-XX-XX	Europe	Germany	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
KT253303.1	HCoV-229E/human/GER/101/2008	2008-XX-XX	Europe	Germany	Homo sapiens			Corman et al	Corman,V.M.,Baldwin,H.J.,Fumie Tateno,A.,Melim Zerbinati,R.,Annan,A.,Owusu,M.,Nkrumah,E.E.,Maganga,G.D.,Oppong,S.,Adu-Sarkodie,Y.,Vallo,P.,da Silva Filho,L.V.,Leroy,E.M.,Thiel,V.,van der Hoek,L.,Poon,L.L.,Tschapka,M.,Drosten,C.,Drexler,J.F.	University of Bonn Medical Centre, Institute of Virology
